code_parametre;cas;ppp_usage;ppp_usages_typiques;statut_ue;date_expiration;autorisation_france;mentions;pnec_ugl;mentions_danger
5580;40642-40-8;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Approuvée;2037-08-30;Oui;biocontrôle;;H315 H317 H319 H336 H411
1487;542-75-6;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;En attente d'évaluation;;;;;
1598;571-58-4;régulateur de croissance;Pomme de terre, Trt Prod. Réc., Limit. Destruct. Germes;Approuvée;2027-11-30;Oui;;5.4;H302 H304 H319 H400 H412
5570;3100-04-7;régulateur de croissance;"Kiwi, Trt Prod. Réc., Act. Qual. Fruits; Fruits à pépins, Trt Part.Aer., Act. Qual. Fruits; Fruits à pépins, Trt Prod. Réc., Act. Qual. Fruits; Fruits à pépins, Trt Prod. Réc., Echaudure; Prunier, Trt Prod. Réc., Act. Qual. Fruits; Tomate - Aubergine, Trt Prod. Réc., Act. Qual. Fruits; Cucurbitacées à peau non comestible, Trt Prod. Réc., Act. Qual. Fruits; Pêcher - Abricotier, Trt Prod. Réc., Act. Qual. Fruits";Approuvée;2034-07-31;Oui;;7.76;H412
2781;90-43-7;fongicide;Protection des cultures contre les maladies fongiques (mildiou, oïdium, etc.).;Approuvée;2027-11-15;Non;;;
1141;94-75-7;herbicide;Désherbage des cultures, bords de champs, talus ou voiries.;Approuvée;2030-12-31;Oui;;34.6;H302 H317 H318 H335 H412
1142;94-82-6;herbicide;Désherbage des cultures, bords de champs, talus ou voiries.;Approuvée;2032-10-31;Non;;;H302 H411
1212;94-74-6;herbicide;"Gazons de graminées, Désherbage; Avoine, Désherbage; Orge, Désherbage; Seigle, Désherbage; Blé, Désherbage; Graminées fourragères, Désherbage; Prairies, Désherbage; Lin, Désherbage";Approuvée;2026-08-15;Oui;;12.4;H302 H315 H318 H400 H410
1213;94-81-5;herbicide;"Graines protéagineuses, Désherbage; Avoine, Désherbage; Blé, Désherbage; Porte graine - Légumineuses fourragères, Désherbage; Légumineuses fourragères, Désherbage; Orge, Désherbage; Seigle, Désherbage; Haricots et Pois écossés frais, Désherbage";Approuvée;2026-08-15;Oui;;;H400 H410
5846;85-07-4;régulateur de croissance;Régulation de la croissance des plantes (antigerminatif, etc.).;Non approuvée;;;;;
