"id_bnvd";"libelle_bnvd";"cas_bnvd";"codes_h_agritox";"codes_h_atp";"categories_danger_agritox";"categories_danger_atp";"mentions_danger_agritox";"mentions_danger_atp";"cmr1";"cmr2";"t_ou_t+";"effet_sur_ou_via_allaitement";"autre_classe_danger_sante";"env_a";"env_b";"autre_classe_danger_environnement";"autre_corrosif";"autre_explosif";"autre_inflammable"
"0_sub_bnvd";"(e)-5-decen-1-yl acetate";"38421-90-8";"H411";"";"Dangers pour le milieu aquatique – Danger chronique, catégorie 2";"";"Toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"";False;False;False;False;False;True;False;False;False;False;False
"1_sub_bnvd";"(e,z)-2,13-octadecadienyl acetate";"86252-65-5";"H411";"";"Dangers pour le milieu aquatique – Danger chronique, catégorie 2";"";"Toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"";False;False;False;False;False;True;False;False;False;False;False
"2_sub_bnvd";"(e,z)-3,13-octadecadienyl acetate";"53120-26-6";"H411";"";"Dangers pour le milieu aquatique – Danger chronique, catégorie 2";"";"Toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"";False;False;False;False;False;True;False;False;False;False;False
"3_sub_bnvd";"(e,z)-3,8-tetradecadien-1-yl acetate";"163041-87-0";"H411";"";"Dangers pour le milieu aquatique – Danger chronique, catégorie 2";"";"Toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"";False;False;False;False;False;True;False;False;False;False;False
"4_sub_bnvd";"(e,z)-7,9-dodecadien-1-yl acetate";"55774-32-8";"H411";"";"Dangers pour le milieu aquatique – Danger chronique, catégorie 2";"";"Toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"";False;False;False;False;False;True;False;False;False;False;False
"5_sub_bnvd";"(e,z,z)-3,8,11-tetradecatrien-1-yl acetate";"163041-94-9";"H411";"";"Dangers pour le milieu aquatique – Danger chronique, catégorie 2";"";"Toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"";False;False;False;False;False;True;False;False;False;False;False
"6_sub_bnvd";"(z)-11-hexadecenal";"53939-28-9";"H317
H332
H400
H410";"";"Sensibilisation cutanée, catégorie 1B
Toxicité aiguë (par inhalation), catégorie 4
Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 1";"";"Peut provoquer une allergie cutanée
Nocif par inhalation
Très toxique pour les organismes aquatiques
Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"";False;False;False;False;True;True;False;False;False;False;False
"7_sub_bnvd";"(z)-8-dodecenol";"40642-40-8";"H315
H317
H319
H336
H411";"";"Corrosion/irritation cutanée, catégorie 2
Sensibilisation cutanée, catégorie 1B
Lésions oculaires graves/irritation oculaire, catégorie 2/2A
Toxicité spécifique pour certains organes cibles – Exposition unique, catégorie 3 : Effets narcotiques
Dangers pour le milieu aquatique – Danger chronique, catégorie 2";"";"Provoque une irritation cutanée
Peut provoquer une allergie cutanée
Provoque une sévère irritation des yeux
Peut provoquer somnolence ou vertiges
Toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"";False;False;False;False;True;True;False;False;False;False;False
"8_sub_bnvd";"(z)-9-dodecenylacetate";"16974-11-1";"H411";"";"Dangers pour le milieu aquatique – Danger chronique, catégorie 2";"";"Toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"";False;False;False;False;False;True;False;False;False;False;False
"9_sub_bnvd";"(z,z)-3,13-octadecadienyl acetate";"53120-27-7";"H411";"";"Dangers pour le milieu aquatique – Danger chronique, catégorie 2";"";"Toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"";False;False;False;False;False;True;False;False;False;False;False
"10_sub_bnvd";"1 iso thiazolinon chloromethyl";"55965-84-9";"";"H301
H310
H314
H317
H318
H330
H400
H410";"";"Toxicité aiguë (par voie orale), catégorie 3
Toxicité aiguë (par voie cutanée), catégorie 2
Corrosion/irritation cutanée, catégorie 1C
Sensibilisation cutanée, catégorie 1A
Lésions oculaires graves/irritation oculaire, catégorie 1
Toxicité aiguë (par inhalation), catégorie 2
Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 1";"";"Toxique en cas d’ingestion
Mortel par contact cutané
Provoque des brûlures de la peau et des lésions oculaires graves
Peut provoquer une allergie cutanée
Provoque des lésions oculaires graves
Mortel par inhalation
Très toxique pour les organismes aquatiques
Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";False;False;True;False;True;True;False;False;False;False;False
"11_sub_bnvd";"1,3-dichloropropene";"542-75-6";"";"H226
H301
H304
H311
H315
H317
H319
H332
H335
H400
H410";"";"Liquides inflammables, catégorie 3
Toxicité aiguë (par voie orale), catégorie 3
Danger par aspiration, catégorie 1
Toxicité aiguë (par voie cutanée), catégorie 3
Corrosion/irritation cutanée, catégorie 2
Sensibilisation cutanée, catégorie 1
Lésions oculaires graves/irritation oculaire, catégorie 2/2A
Toxicité aiguë (par inhalation), catégorie 4
Toxicité spécifique pour certains organes cibles – Exposition unique, catégorie 3 : Irritation des voies respiratoires
Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 1";"";"Liquide et vapeurs inflammables
Toxique en cas d’ingestion
Peut être mortel en cas d’ingestion et de pénétration dans les voies respiratoires
Toxique par contact cutané
Provoque une irritation cutanée
Peut provoquer une allergie cutanée
Provoque une sévère irritation des yeux
Nocif par inhalation
Peut irriter les voies respiratoires
Très toxique pour les organismes aquatiques
Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";False;False;True;False;True;True;False;False;False;False;True
