"id_bnvd";"libelle_bnvd";"cas_bnvd";"annee";"rpd_classification";"rpd_mention";"rpd_classification_taux";"rpd_mention_taux";"rpd_taux"
"0_sub_bnvd";"(e)-5-decen-1-yl acetate";"38421-90-8";2017;"Autre";"";0.0;"";0.0
"0_sub_bnvd";"(e)-5-decen-1-yl acetate";"38421-90-8";2018;"Autre";"";0.0;"";0.0
"0_sub_bnvd";"(e)-5-decen-1-yl acetate";"38421-90-8";2019;"Autre";"";0.0;0.0;0.0
"0_sub_bnvd";"(e)-5-decen-1-yl acetate";"38421-90-8";2020;"Autre";"";0.0;0.0;0.0
"0_sub_bnvd";"(e)-5-decen-1-yl acetate";"38421-90-8";2021;"Autre";"";0.0;0.0;0.0
"0_sub_bnvd";"(e)-5-decen-1-yl acetate";"38421-90-8";2022;"Autre";"";0.0;0.0;0.0
"0_sub_bnvd";"(e)-5-decen-1-yl acetate";"38421-90-8";2023;"Autre";"";0.0;0.0;0.0
"1_sub_bnvd";"(e,z)-2,13-octadecadienyl acetate";"86252-65-5";2018;"Autre";"";0.0;"";0.0
"1_sub_bnvd";"(e,z)-2,13-octadecadienyl acetate";"86252-65-5";2019;"Autre";"";0.0;0.0;0.0
"1_sub_bnvd";"(e,z)-2,13-octadecadienyl acetate";"86252-65-5";2020;"Autre";"";0.0;0.0;0.0
"1_sub_bnvd";"(e,z)-2,13-octadecadienyl acetate";"86252-65-5";2021;"Autre";"";0.0;0.0;0.0
"1_sub_bnvd";"(e,z)-2,13-octadecadienyl acetate";"86252-65-5";2022;"Autre";"";0.0;0.0;0.0
"1_sub_bnvd";"(e,z)-2,13-octadecadienyl acetate";"86252-65-5";2023;"Autre";"";0.0;0.0;0.0
"2_sub_bnvd";"(e,z)-3,13-octadecadienyl acetate";"53120-26-6";2018;"Autre";"";0.0;"";0.0
"2_sub_bnvd";"(e,z)-3,13-octadecadienyl acetate";"53120-26-6";2019;"Autre";"";0.0;0.0;0.0
"2_sub_bnvd";"(e,z)-3,13-octadecadienyl acetate";"53120-26-6";2020;"Autre";"";0.0;0.0;0.0
