"id_bnvd";"libelle_bnvd";"cas_bnvd";"fonction_principale_bnvd";"fonction_precision_bnvd";"fonctions_autres_bnvd";"fonction_eupdb";"fonction_sandre";"herbicide";"insecticide";"fongicide";"bactericide";"molluscicide";"nematicide";"regulateur_croissance";"rodenticide";"autre_fonction"
"0_sub_bnvd";"(e)-5-decen-1-yl acetate";"38421-90-8";"Insecticide - Médiateur chimique";"";"";"Attractif";"";False;True;False;False;False;False;False;False;False
"1_sub_bnvd";"(e,z)-2,13-octadecadienyl acetate";"86252-65-5";"Insecticide - Médiateur chimique";"";"";"Attractif";"";False;True;False;False;False;False;False;False;False
"2_sub_bnvd";"(e,z)-3,13-octadecadienyl acetate";"53120-26-6";"Insecticide - Médiateur chimique";"";"";"Attractif";"";False;True;False;False;False;False;False;False;False
"3_sub_bnvd";"(e,z)-3,8-tetradecadien-1-yl acetate";"163041-87-0";"Insecticide - Médiateur chimique";"";"";"";"";False;True;False;False;False;False;False;False;False
"4_sub_bnvd";"(e,z)-7,9-dodecadien-1-yl acetate";"55774-32-8";"Insecticide - Médiateur chimique";"";"";"";"";False;True;False;False;False;False;False;False;False
"5_sub_bnvd";"(e,z,z)-3,8,11-tetradecatrien-1-yl acetate";"163041-94-9";"Insecticide - Médiateur chimique";"";"";"";"";False;True;False;False;False;False;False;False;False
"6_sub_bnvd";"(z)-11-hexadecenal";"53939-28-9";"Insecticide - Médiateur chimique";"";"";"";"";False;True;False;False;False;False;False;False;False
"7_sub_bnvd";"(z)-8-dodecenol";"40642-40-8";"Insecticide - Médiateur chimique";"";"";"Attractif";"";False;True;False;False;False;False;False;False;False
"8_sub_bnvd";"(z)-9-dodecenylacetate";"16974-11-1";"Insecticide - Médiateur chimique";"";"";"Attractif";"";False;True;False;False;False;False;False;False;False
"9_sub_bnvd";"(z,z)-3,13-octadecadienyl acetate";"53120-27-7";"Insecticide - Médiateur chimique";"";"";"Attractif";"";False;True;False;False;False;False;False;False;False
"10_sub_bnvd";"1 iso thiazolinon chloromethyl";"55965-84-9";"SA non phyto - Désinfectant - Biocide";"";"";"";"";False;False;False;False;False;False;False;False;True
"11_sub_bnvd";"1,3-dichloropropene";"542-75-6";"Nématicide";"Appliqué par fumigation";"Bactéricide - Virucide
Insecticide";"";"Nématicides";False;True;False;True;False;True;False;False;False
"12_sub_bnvd";"1,4-dimethylnaphtalene";"571-58-4";"Régulateur de croissance";"";"";"Régulateur de croissance";"";False;False;False;False;False;False;True;False;False
"13_sub_bnvd";"1,5-diaminopentane";"462-94-2";"Insecticide - Médiateur chimique";"";"Autre usage - Répulsif";"";"";False;True;False;False;False;False;False;False;True
"14_sub_bnvd";"1-dodecanol";"112-53-8";"Insecticide - Médiateur chimique";"";"";"";"";False;True;False;False;False;False;False;False;False
"15_sub_bnvd";"1-methylcyclopropene (1-mcp)";"3100-04-7";"Régulateur de croissance";"";"";"Régulateur de croissance";"Régulateurs de croissances";False;False;False;False;False;False;True;False;False
