"id_bnvd";"libelle_bnvd";"cas_bnvd";"index_eupdb";"libelle_eupdb";"cas_eupdb";"micro_organisme";"substance_base";"faible_risque";"faible_risque_liste_amm_ephy";"candidat_substitution";"candidat_substitution_type";"in_uab_pro";"uab_pro_liste_amm_ephy";"in_uab_amateur";"uab_amateur_liste_amm_ephy";"in_biocontrole";"biocontrole_liste_amm_ephy";"in_eaj";"in_eaj_bnvd";"eaj_liste_amm_bnvd";"in_eaj_ephy";"eaj_liste_amm_ephy"
"0_sub_bnvd";"(e)-5-decen-1-yl acetate";"38421-90-8";"1330";"(E)-5-Decen-1-yl acetate (SCLP Acetates)";"38421-90-8";False;False;True;"";False;"";True;"2171126
2180549";False;"";True;"2171126
2180549";False;False;"";False;""
"1_sub_bnvd";"(e,z)-2,13-octadecadienyl acetate";"86252-65-5";"349";"(E,Z)-2,13-Octadecadien-1-yl acetate (SCLP Acetates)";"86252-65-5";False;False;True;"";False;"";True;"2170960";False;"";True;"2170960";False;False;"";False;""
"2_sub_bnvd";"(e,z)-3,13-octadecadienyl acetate";"53120-26-6";"1499";"(E,Z)-3,13-Octadecadien-1-yl acetate (SCLP Acetates)";"No CAS allocated";False;False;True;"";False;"";True;"2170960
2180257";False;"";True;"2170960
2180257";False;False;"";False;""
"3_sub_bnvd";"(e,z)-3,8-tetradecadien-1-yl acetate";"163041-87-0";"";"";"";"";"";"";"";"";"";True;"2190594";False;"";True;"2190594";False;False;"";False;""
"4_sub_bnvd";"(e,z)-7,9-dodecadien-1-yl acetate";"55774-32-8";"";"";"";"";"";"";"";"";"";True;"2210439
2220002
2220441
2220447
2220737
2220738";False;"";True;"2210439
2220002
2220441
2220447
2220737
2220738";False;False;"";False;""
"5_sub_bnvd";"(e,z,z)-3,8,11-tetradecatrien-1-yl acetate";"163041-94-9";"";"";"";"";"";"";"";"";"";True;"2190594";False;"";True;"2190594";False;False;"";False;""
"6_sub_bnvd";"(z)-11-hexadecenal";"53939-28-9";"1017";"(Z)-11-Hexadecenal (SCLP Aldehydes)";"53939-28-9";False;False;False;"";False;"";True;"2189998";False;"";True;"2189998";False;False;"";False;""
"7_sub_bnvd";"(z)-8-dodecenol";"40642-40-8";"373";"(Z)-8-Dodecen-1-ol (SCLP Alcohols)";"40642-40-8";False;False;False;"";False;"";True;"2100241
2110179
2120130
2140143
2180549
2190561
2210017
2210610
2220429";False;"";True;"2100241
2110179
2120130
2140143
2180549
2190561
2210017
2210610
2220429";False;False;"";False;""
"8_sub_bnvd";"(z)-9-dodecenylacetate";"16974-11-1";"375";"(Z)-9-Dodecen-1-yl acetate (SCLP Acetates)";"16974-11-1";False;False;True;"";False;"";True;"2120030
2130109
2140044
2140215
2161035
2200389
2220002
2220737
2220738
9400458
9400459
9400462";False;"";True;"2120030
2130109
2140044
2140215
2161035
2200389
2220002
2220737
2220738
9400458
9400459
9400462";False;False;"";False;""
"9_sub_bnvd";"(z,z)-3,13-octadecadienyl acetate";"53120-27-7";"1500";"(Z,Z)-3,13-Octadecadien-1-yl acetate (SCLP Acetates)";"No CAS allocated";False;False;True;"";False;"";True;"2180257";False;"";True;"2180257";False;False;"";False;""
"10_sub_bnvd";"1 iso thiazolinon chloromethyl";"55965-84-9";"";"";"";"";"";"";"";"";"";False;"";False;"";False;"";False;False;"";False;""
"11_sub_bnvd";"1,3-dichloropropene";"542-75-6";"384";"1,3-Dichloropropene";"542-75-6";False;False;False;"";False;"";False;"";False;"";False;"";False;False;"";False;""
"12_sub_bnvd";"1,4-dimethylnaphtalene";"571-58-4";"1203";"1,4-Dimethylnaphthalene";"571-58-4";False;False;False;"";False;"";False;"";False;"";False;"";False;False;"";False;""
"13_sub_bnvd";"1,5-diaminopentane";"462-94-2";"";"";"";"";"";"";"";"";"";True;"2130114
2130115";False;"";True;"2130114
2130115";False;False;"";False;""
"14_sub_bnvd";"1-dodecanol";"112-53-8";"1064";"Dodecan-1-ol (SCLP Alcohols)";"112-53-8";False;False;False;"";False;"";True;"2000536
2110179
2150175
2160929
2170785
9900123";False;"";True;"2000536
2110179
2150175
2160929
2170785
9900123";False;False;"";False;""
"15_sub_bnvd";"1-methylcyclopropene (1-mcp)";"3100-04-7";"390";"1-methylcyclopropene";"3100-04-7";False;False;False;"";False;"";False;"";False;"";False;"";False;False;"";False;""
"16_sub_bnvd";"1-tetradecanol";"112-72-1";"1384";"Tetradecan-1-ol (SCLP Alcohols)";"63393-82-8";False;False;False;"";False;"";True;"2000536
2110179
2150175
2160929
2170785
2180549
9900123";False;"";True;"2000536
2110179
2150175
2160929
2170785
2180549
9900123";False;False;"";False;""
"17_sub_bnvd";"2 phenyl-phenol";"90-43-7";"1013";"2-Phenylphenol (incl. sodium salt orthophenyl phenol)";"90-43-7";False;False;False;"";False;"";False;"";False;"";False;"";False;False;"";False;""
"18_sub_bnvd";"2,4-d";"94-75-7";"394";"2,4-D";"94-75-7";False;False;False;"";False;"";False;"";False;"";False;"";True;True;"2000071
2000412
2010378
2010438
2010439
2010637
2020303
2020305
2020336
2030173
2040140
2090032
2110146
6900472
7600156
8000169
8100548
8200346
8300032
8600241
8600519
8600575
8600622
8720669
9000647
9200118
9200475
9220043
9400456
9420040
9420112
9500269
9500413
9500556
9600299
9600325
9600404
9700409
9800334
9800358";True;"2000071
2000390
2000412
2010378
2010439
2010637
2020303
2020305
2020336
2030173
2030331
2040080
2040140
2090032
2100083
2110146
2120118
2130040
2160487
6900472
7600156
7700706
8000169
8100548
8200346
8300032
8600241
8600575
8600622
8720669
9000647
9200118
9200132
9220043
9400109
9400456
9420040
9420112
9420113
9500269
9500413
9500556
9600299
9600325
9600404
9700409
9800334
9800350
9800358"
"19_sub_bnvd";"2,4-db";"94-82-6";"395";"2,4-DB";"94-82-6";False;False;False;"";False;"";False;"";False;"";False;"";False;False;"";False;""
"20_sub_bnvd";"2,4-mcpa";"94-74-6";"1324";"MCPA";"see remark";False;False;False;"";False;"";False;"";False;"";False;"";True;True;"2000241
2010319
2010378
2010438
2010439
2040079
2090032
2110174
2120155
7700388
9000662
9200118
9400245
9500037
9500038
9500143
9500227
9500281
9500484
9500485
9500572
9600404
9700414
9800238
9800334
9800432
9900098
9900319
9900320
9900321";True;"2000241
2010035
2010296
2010319
2010378
2010439
2040079
2050144
2090032
2100083
2110174
2120155
6900486
7700388
9000662
9020380
9200118
9400245
9500037
9500038
9500143
9500227
9500281
9500484
9500485
9600404
9700414
9800238
9800334
9800350
9800432
9900098
9900319
9900320
9900321"
"21_sub_bnvd";"2,4-mcpb";"94-81-5";"279";"MCPB";"94-81-5";False;False;False;"";False;"";False;"";False;"";False;"";False;False;"";False;""
"22_sub_bnvd";"2-methyl-1-naphtylacetamide";"85-07-4";"1322";"Methylnaphthylacetamide";"No CAS allocated";False;False;False;"";False;"";False;"";False;"";False;"";False;False;"";False;""
"23_sub_bnvd";"6-benzyladenine";"1214-39-7";"1044";"6-Benzyladenine";"1214-39-7";False;False;False;"";False;"";False;"";False;"";True;"2060079
2090019
2090055
8200489
9700357";False;False;"";False;""
"24_sub_bnvd";"8-hydroxiquinoline";"148-24-3";"1047";"Quinolin-8-ol";"148-24-3";False;False;False;"";True;"reprotoxique 1A / 1B";False;"";False;"";False;"";False;False;"";False;""
"25_sub_bnvd";"abamectine";"71751-41-2";"1048";"Abamectin (aka avermectin)";"71751-41-2";False;False;False;"";False;"";False;"";False;"";True;"2090146";True;True;"2090146
2130172";True;"2090146
2130172"
"26_sub_bnvd";"abe-it 56";"";"1307";"ABE-IT 56";"No CAS allocated";False;False;True;"";False;"";True;"2210387";False;"";True;"2210387";False;False;"";False;""
"27_sub_bnvd";"acequinocyl";"57960-19-7";"1209";"Acequinocyl";"57960-19-7";False;False;False;"";False;"";False;"";False;"";False;"";False;False;"";False;""
"28_sub_bnvd";"acetamipride";"135410-20-7";"1050";"Acetamiprid";"135410-20-7";False;False;False;"";False;"";False;"";False;"";False;"";True;True;"2080018
2080054
2090045
2090047
2100004
2100077
2100165";True;"2080018
2080054
2080069
2090045
2090047
2100004
2100077
2100165"
"29_sub_bnvd";"acetate d'ammonium";"631-61-8";"1569";"Ammonium Acetate";"631-61-8";False;False;False;"";False;"";True;"2130114
2130115";False;"";True;"2130114
2130115";False;False;"";False;""
"30_sub_bnvd";"acetate de e-8-dodecenyle";"38363-29-0";"361";"(E)-8-Dodecen-1-yl acetate (SCLP Acetates)";"38363-29-0";False;False;True;"";False;"";True;"2100241
2110179
2120130
2140143
2180549
2190561
2210610
2220429
8900685";False;"";True;"2100241
2110179
2120130
2140143
2180549
2190561
2210610
2220429
8900685";False;False;"";False;""
"31_sub_bnvd";"acetate de tetradecyle";"638-59-5";"1253";"n-Tetradecylacetate (SCLP Acetates)";"No CAS allocated";False;False;True;"";False;"";True;"2140146
2170434";False;"";True;"2140146
2170434";False;False;"";False;""
"32_sub_bnvd";"acetate de z-8-dodecenyle";"28079-04-1";"374";"(Z)-8-Dodecen-1-yl acetate (SCLP Actetates)";"28079-04-1";False;False;True;"";False;"";True;"2100241
2110179
2120130
2140143
2180549
2190561
2210610
2220429
8900685";False;"";True;"2100241
2110179
2120130
2140143
2180549
2190561
2210610
2220429
8900685";False;False;"";False;""
"33_sub_bnvd";"acetochlore";"34256-82-1";"1052";"Acetochlor";"34256-82-1";False;False;False;"";False;"";False;"";False;"";False;"";False;False;"";False;""
"34_sub_bnvd";"acibenzolar-s-methyl";"135158-54-2";"1053";"Acibenzolar-S-methyl (benzothiadiazole)";"135158-54-2";False;False;False;"";False;"";False;"";False;"";False;"";False;False;"";False;""
"35_sub_bnvd";"acide 2,5-dichlorobenzoique";"50-79-3";"617";"2,5-Dichlorobenzoic acid methylester";"2905-69-3";False;False;False;"";False;"";False;"";False;"";False;"";False;False;"";False;""
"36_sub_bnvd";"acide 2-methyl-1-naphtylacetique";"";"";"";"";"";"";"";"";"";"";False;"";False;"";False;"";False;False;"";False;""
"37_sub_bnvd";"acide acetique";"64-19-7";"1051";"Acetic acid";"64-19-7";False;False;False;"";False;"";False;"";False;"";True;"2090078
2090079
2130153
2170685
2180244
2180245";True;True;"2090078
2090079
2130153
2170685
2180244";True;"2090078
2090079
2130153
2170685
2180244"
"37_sub_bnvd";"acide acetique";"64-19-7";"1207";"Vinegar";"64-19-7";False;True;False;"";False;"";False;"";False;"";True;"2090078
2090079
2130153
2170685
2180244
2180245";True;True;"2090078
2090079
2130153
2170685
2180244";True;"2090078
2090079
2130153
2170685
2180244"
"38_sub_bnvd";"acide alkylbenzene sulfonique lineaire";"68584-22-5";"";"";"";"";"";"";"";"";"";False;"";False;"";False;"";False;False;"";False;""
"39_sub_bnvd";"acide alpha naphtylacetique (ana)";"86-87-3";"380";"1-Naphthylacetic acid (1-NAA)";"86-87-3";False;False;False;"";False;"";False;"";False;"";False;"";True;True;"8700485
8800499
9500444
9500445
9700175";True;"8700485
8800499
9500444
9500445
9700175"
"40_sub_bnvd";"acide b-indole acetique (aia)";"87-51-4";"227";"Indolylacetic acid (aka auxins)";"87-51-4";False;False;False;"";False;"";False;"";False;"";False;"";False;False;"";False;""
"41_sub_bnvd";"acide b-indole butyrique (aib)";"133-32-4";"228";"Indolylbutyric acid";"133-32-4";False;False;False;"";False;"";False;"";False;"";True;"2180252
8500351
8500352
8500353
8500354
9200056
9200058
9200062";True;True;"2180252";True;"2180252"
"42_sub_bnvd";"acide benzoique";"65-85-0";"455";"Benzoic acid";"65-85-0";False;False;False;"";False;"";False;"";False;"";False;"";False;False;"";False;""
"43_sub_bnvd";"acide blue 9";"2650-18-2";"";"";"";"";"";"";"";"";"";False;"";False;"";False;"";True;False;"";True;"9800518"
"44_sub_bnvd";"acide citrique";"77-92-9";"";"";"";"";"";"";"";"";"";False;"";False;"";False;"";False;False;"";False;""
"45_sub_bnvd";"acide decanoique";"334-48-5";"502";"Capric acid (CAS 334-48-5)";"334485";False;False;False;"";False;"";False;"";False;"";True;"2140166
2140167";True;True;"2140166
2140167";True;"2140166
2140167"
"46_sub_bnvd";"acide formique";"64-18-6";"1004";"Formic acid";"64-18-6";False;False;False;"";False;"";False;"";False;"";False;"";False;False;"";False;""
"47_sub_bnvd";"acide gibberellique";"77-06-5";"764";"Gibberellic acid";"77-06-5 ";False;False;False;"";False;"";False;"";False;"";True;"2140001
2160383
2210416
7400619
8100110
9000737";False;False;"";False;""
"48_sub_bnvd";"acide gras sous forme de sel d'amine";"";"";"";"";"";"";"";"";"";"";False;"";False;"";False;"";True;True;"9100696";True;"9100696"
