"id_bnvd";"libelle_bnvd";"cas_bnvd";"vtr_nom";"vtr_remarque_agritox";"vtr_valeur_agritox";"vtr_unite_agritox";"vtr_source_agritox";"vtr_etude_pivot_agritox";"vtr_etude_pivot_noael_valeur_agritox";"vtr_etude_pivot_noael_unite_agritox";"vtr_fs_agritox";"vtr_fcaoi_agritox";"vtr_remarque_eupdb";"vtr_valeur_eupdb";"vtr_unite_eupdb";"vtr_source_eupdb"
"0_sub_bnvd";"(e)-5-decen-1-yl acetate";"38421-90-8";"AAOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"0_sub_bnvd";"(e)-5-decen-1-yl acetate";"38421-90-8";"AOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"0_sub_bnvd";"(e)-5-decen-1-yl acetate";"38421-90-8";"DJA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"0_sub_bnvd";"(e)-5-decen-1-yl acetate";"38421-90-8";"DRfA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"1_sub_bnvd";"(e,z)-2,13-octadecadienyl acetate";"86252-65-5";"AAOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"1_sub_bnvd";"(e,z)-2,13-octadecadienyl acetate";"86252-65-5";"AOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"1_sub_bnvd";"(e,z)-2,13-octadecadienyl acetate";"86252-65-5";"DJA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"1_sub_bnvd";"(e,z)-2,13-octadecadienyl acetate";"86252-65-5";"DRfA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"2_sub_bnvd";"(e,z)-3,13-octadecadienyl acetate";"53120-26-6";"AAOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"2_sub_bnvd";"(e,z)-3,13-octadecadienyl acetate";"53120-26-6";"AOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"2_sub_bnvd";"(e,z)-3,13-octadecadienyl acetate";"53120-26-6";"DJA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"2_sub_bnvd";"(e,z)-3,13-octadecadienyl acetate";"53120-26-6";"DRfA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"3_sub_bnvd";"(e,z)-3,8-tetradecadien-1-yl acetate";"163041-87-0";"AAOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"3_sub_bnvd";"(e,z)-3,8-tetradecadien-1-yl acetate";"163041-87-0";"AOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"3_sub_bnvd";"(e,z)-3,8-tetradecadien-1-yl acetate";"163041-87-0";"DJA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"3_sub_bnvd";"(e,z)-3,8-tetradecadien-1-yl acetate";"163041-87-0";"DRfA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"4_sub_bnvd";"(e,z)-7,9-dodecadien-1-yl acetate";"55774-32-8";"AAOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"4_sub_bnvd";"(e,z)-7,9-dodecadien-1-yl acetate";"55774-32-8";"AOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"4_sub_bnvd";"(e,z)-7,9-dodecadien-1-yl acetate";"55774-32-8";"DJA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
